"Name of Hospital"	"Hospital Id"	Mobile	Email	"Hospital Type"	Address	District	hospital
"CHC Badiaduka",HOSP14CHC001,9400802929,chcbadiadka@gmail.com,CHC,"COMMUNITY HEALTH CENTRE, BADIADKA , PERDALA POST, 671551,KASARAGOD",KSD,643e46f4bc3a1cbc36096dea
"CHC Cheruvathur",HOSP14CHC002,9447730617,phcchervathur@gmail.com,CHC,"COMMUNITY HEALTH CENTRE, CHERUVATHUR PO, 671313,KASARAGOD",KSD,643e46f4bc3a1cbc36096deb
"CHC Kumbla",HOSP14CHC003,9072832383,chckumbla@gmail.com,CHC,"Community Health Center ,Kumbla Kasaragod 671321",KSD,643e46f4bc3a1cbc36096dec
"CHC Manjeshwar",HOSP14CHC004,,,CHC,,KSD,643e46f4bc3a1cbc36096ded
"CHC Muliyar",HOSP14CHC005,9446401551,chcmuliyar15@gmail.com,CHC,"HOSPITAL MANAGEMENT COMMITTEE, PRIMARY HEALTH CENTRE",KSD,643e46f4bc3a1cbc36096dee
"CHC Periye",HOSP14CHC006,9447934012,mochcperiye@gmail.com,CHC,"COMMUNITY HEALTH CENTRE PERIYE, PERIYE PO, 671316",KSD,643e46f4bc3a1cbc36096def
"PHC ADOOR",HOSP14PHC001,9495654174,fhcadoor@gmail.com,PHC,"ADOOR, ADOOR P.O KASARAGOD",KSD,643e46f4bc3a1cbc36096dfa
"PHC AJANUR",HOSP14PHC002,8086506040,phcajanur@gmail.com,PHC,"Ajanur, kolavayal (po)",KSD,643e46f4bc3a1cbc36096dfb
"PHC ANANDASHRAM",HOSP14PHC003,8547876854,phcanandasram@gmai.com,PHC,"Anandashram Anandashram PO",KSD,643e46f4bc3a1cbc36096dfc
"PHC ANGDADIMUGAR",HOSP14PHC004,9496403011,phcangadimogaru@gmail.com,PHC,"Ariyappady (po) Kasaragod",KSD,643e46f4bc3a1cbc36096dfd
"PHC ARIKADY",HOSP14PHC005,9847607495,phcarikady@gmail.com,PHC,"ARIKADY,KUMLA PO KASARAGOD",KSD,643e46f4bc3a1cbc36096dfe
"PHC BANDADKA",HOSP14PHC006,9447937756,phcbandadka@gmail.com,PHC,"PHC BANDADKA, PO BANDADKA, KASARAGOD DIST",KSD,643e46f4bc3a1cbc36096dff
"PHC BAYAR",HOSP14PHC007,,,PHC,,KSD,643e46f4bc3a1cbc36096e00
"PHC BELLOOR",HOSP14PHC008,,,PHC,,KSD,643e46f4bc3a1cbc36096e01
"PHC CHATTANCHAL",HOSP14PHC009,9605999099,phcchattanchal@gmail.com,PHC,"Family Health centre Chattanchal Thekkil PO",KSD,643e46f4bc3a1cbc36096e02
"PHC CHENGALA",HOSP14PHC010,9497361272,phcchengala@gmail.com,PHC,"PRIMARY HEALTH CENTRE CHENGALA",KSD,643e46f4bc3a1cbc36096e03
"PHC CHITTARIKKAL",HOSP14PHC011,9605447348,"phc131chittarikkal @gmail.com",PHC,"Chittarikkal PO Kasaragod,",KSD,643e46f4bc3a1cbc36096e04
"PHC ENNAPPARA",HOSP14PHC012,9539600405,phcennappara@gmail.com,PHC,"Ennappara, Thayannur PO,671531",KSD,643e46f4bc3a1cbc36096e05
